,0
0,0.0
1,3.5028859735157286e-27
2,5.548159129094822e-12
3,1.8784147688697675e-05
4,0.001035739791981
5,0.0077148832951286495
6,0.0383134673811263
7,0.12335984303968983
8,0.3810947768312733
9,1.5142167856013369
10,2679.269497570378
