neutral,selected
5064.093562755009,11142.516845529026
4438.923025323194,9221.94709825647
1766.474042930056,3030.444995679862
1197.6602541761515,1928.8812157184448
927.1778159828881,1442.596217768797
762.8771030769343,1145.1051626599203
650.4262227296457,947.9331571054332
570.0518894373654,806.3957996930143
513.0656465543362,707.5402924418538
467.7064664229218,639.0312966968052
433.7758910557701,580.8607859389763
403.1490753095622,532.8877709017063
377.137323467973,489.66578518351895
350.6680012939683,454.64457295915565
326.7896218321954,425.405274435045
304.75540980722974,400.8797189075255
286.33150880699606,379.8879736581897
266.50811820837805,354.0833671072347
245.43392580282287,332.7660356394153
213.99778254476072,311.9925922239839
108.9973124816821,158.53404149539878
