neutral,selected
3916935.343090247,16049767.493118962
3887.588541189412,7790.8976453888035
1549.3590220315143,2532.7758147850395
1058.7113611318343,1627.0201183747592
829.4915018765427,1225.019759528918
688.4530563574425,979.3062480408918
590.9560334804924,816.1834787956961
520.579978629102,696.0280634073464
467.39128371185325,609.4667854719288
426.0534033797088,546.3216347715401
393.5492162206394,495.6273828390966
365.95429460461946,454.3248525541705
340.7966576325058,418.066772573788
317.0490168783034,386.7745456490389
295.3148039790726,357.8756885974318
274.83682019179037,335.91482357665274
257.2204949893008,314.583211929707
239.11534792165986,294.4026638467684
216.89918141615325,272.86560670527456
184.12833689602303,240.26034143642752
0.0,0.0
