neutral.bin0,neutral.bin1,neutral.bin2,neutral.bin3,neutral.bin4,neutral.bin5,neutral.bin6,neutral.bin7,neutral.bin8,neutral.bin9,selected.bin0,selected.bin1,selected.bin2,selected.bin3,selected.bin4,selected.bin5,selected.bin6,selected.bin7,selected.bin8,selected.bin9
392813.53217159153,396381.5861569797,395164.3878167303,393734.9837718721,393802.83394312905,392091.6042651839,392771.6160701184,392457.92372598784,394212.30763779243,397468.47830399434,1600685.5472154985,1607801.5087872227,1603370.8383532718,1601248.3891293032,1597237.858367328,1605001.916547292,1596300.703845554,1609589.0796677372,1593149.0076754997,1609029.1556532138
430.9679494968754,410.4444489806871,425.19577085490977,407.9561124687457,408.928167527877,403.8794000775706,412.55720699515024,392.38253257417693,406.57113739337586,444.38245667531487,863.7275012170147,813.5713432892279,860.0276699537466,836.6224029093078,806.824931583426,841.7135459814288,857.6293462933826,807.1165791790355,846.8425722947139,846.8543978770216
165.08122217929133,163.20783486497692,175.39183472107453,156.0900375619918,167.70510233887637,165.39365171998045,167.73753763481727,163.00262239968671,166.09999096898116,168.84403987618856,280.12126595872223,274.4866555887031,273.6637373996338,281.2310388131569,263.07315987889615,278.6096387229068,267.2896692867936,264.94108252935587,281.3443929566545,287.53859593431156
108.29630972403788,112.01823694410258,120.61288278846409,107.37311261802384,112.55019708898017,113.36104149835344,116.99260398682681,109.09943176333644,117.04545522421974,117.39896880428566,178.3550590113236,180.20892337018398,171.5572972944116,186.69953746379116,162.4407337719292,182.8035575101881,163.12387120177164,172.19327767698607,176.8085073574118,185.46669488608686
84.29913566915377,82.23202957360142,92.67189249152693,88.18119774401966,87.16576435004386,89.25457308389491,90.95024850007373,86.52835285696598,92.59863418986343,89.72330972868934,131.0094327019477,134.02482481813522,129.30397984223077,147.4054894714723,124.9811027581542,137.28682452516338,119.75398040284743,128.4990142044817,132.11125833334478,135.36673238843963
70.87175474661109,65.13163486346788,73.10719773602668,75.92583721428399,74.08962051183977,75.23745799259933,74.36671814045455,71.65915958774914,76.3145825576436,73.08872756876467,103.1457094237322,106.49227643336194,105.56705894537916,120.65953546111356,104.77824960504836,106.09040261882434,97.08529614505626,98.1680721697357,105.99844165383769,105.27446545686735
61.47296305187309,54.46859852314113,60.88309442048849,66.01766942499172,64.1082621300561,65.28790264392953,63.747470710670314,62.10082825179489,63.89712594456172,62.52486355111753,84.58019166568535,88.27089609925731,88.95194976835106,99.2547132505115,91.03651083423158,86.75530105342416,84.37664425689219,78.59711134686748,88.3930253048902,85.48916419251765
54.327105629717444,48.23628949946619,53.38494170544673,56.827035846260124,55.093242582348644,58.29130600525552,56.81325901412741,55.30197841497265,55.35718404659095,55.93565392327777,71.74840287541365,74.36372556857896,75.21247334743077,80.66507050557124,80.04522562834578,74.75726852502811,75.31714369005125,64.53570836514211,76.33913521985181,72.55763994199195
48.13549108067964,44.83079212930183,48.13873808265386,49.019791677633336,48.98059493625216,52.875601550837715,51.28970436753313,50.88276709537496,48.63440115691327,50.7665190904299,63.95250017944122,64.06294337442499,64.53581743904778,66.53725563269307,71.17099832753009,66.80148099029364,68.45780129188338,55.646411904672284,67.14375441864071,63.71123878090932
42.58302602214972,42.718467354150164,43.72738690474935,43.01141558616223,45.427433660613474,48.34548184640817,46.419500930955415,48.43453539152052,42.63625246168311,46.46647748989255,58.29147656323096,57.62029672202516,55.509570313914224,57.587926396690854,64.6334178127073,61.92212844234503,62.28764320608515,49.37946132224385,60.23786150367528,57.24683834914361
38.20555174675744,41.02772357703918,39.799546803585095,39.01994686279831,43.35751720878821,44.83410324843659,42.03520533746442,46.83708538028479,37.37771844885638,42.90467940909486,53.23428924442126,53.4196797153869,48.57352168706847,52.4383390997952,58.447523220211686,56.163911534303466,56.47123754843919,45.73444760118259,52.423938569252485,52.57251499060401
35.03101223679356,39.371028029939154,36.621815944733115,36.873008706919066,41.60688166843694,41.837544936893764,37.239807699735415,44.706227058697564,33.44306268757839,39.88090448439376,48.557268876950346,49.800146158623825,44.365880392493295,49.26956119229581,52.79220443770692,52.28691682119824,50.494129080680445,44.20900968488832,46.056904330360396,48.79826619044248
32.54729017492304,37.5181493004814,34.12000393448136,35.85199347313338,39.632596310057046,38.887759991013624,32.43607879372914,41.17419366749096,31.264218815384627,37.11929746528902,44.32264262431486,46.40353565628459,42.377836699119214,46.83543406331385,45.63217116173524,49.05416174636154,44.10090639552042,43.62669968138449,40.34916653459919,45.10884119583971
30.387878090158587,35.41290244058059,31.901449020092585,35.198376781644996,37.2998698239152,35.47827074598158,28.683090216088424,36.21691810201668,30.871526296513576,34.118182969683396,39.89327358601479,42.90339197740935,41.60217533539264,44.578289085815626,39.85294903874008,46.05854097302272,37.8607424648674,43.205902889740145,37.8107578106296,41.75411919983245
28.659076107939562,33.052168504222784,29.813115407549166,34.01883308914407,34.62284570626852,32.0646625784248,27.285518409719998,30.80649658913326,31.22340901291894,30.54009769483602,35.44991745969855,39.25346238831057,41.091659693916505,42.57884911488229,35.877523743440925,43.1451684744343,32.95208444432399,42.5973652910213,34.8327247059023,39.277804145025165
27.68047122607195,30.31363540252824,27.93329271536348,31.352263839867348,32.243090902821066,29.513882684367843,26.58946271879884,26.334856885597677,30.944825784202244,26.98126801547797,32.713826128162715,36.1108404015862,40.31044030455235,39.71860518616244,34.08255557386962,40.58254500857433,30.296315853164852,41.04110032647331,33.08605391853089,37.15702673656086
27.353323359469613,27.55045701897287,27.49727217089885,27.37836659113873,29.863732912248064,27.874165677922772,25.794028554007173,23.30741200667351,29.769929789300463,24.553782717566914,32.07957955530448,33.779068733780164,38.390450614537016,37.39785547942388,33.34119395729098,35.29229100964959,29.335373307129842,37.56070252909349,30.85147256440168,34.30625440496293
27.576354363897043,25.326767985381604,25.37429211193781,23.964719486086477,26.956979590807475,26.243042744909108,23.078128715924677,22.311126494717648,27.72175059258116,23.32263164903237,31.800662217123715,31.795274295072158,34.92101585379852,33.058586706760515,32.14778151772881,31.747531486371738,29.791331261976058,32.58307762278651,30.09130692742468,30.151692697345844
25.78885398775998,23.078273755773676,24.333663152056356,22.152038395999302,22.77455772117791,23.563389618283313,20.539158329136328,20.480054314627317,24.881225991715322,21.523854477291138,30.611010553545498,28.511369460799493,31.495214917214263,30.432950739562845,30.479538372010467,31.697211041714457,27.144833904450017,27.950825694926934,29.91019213285856,25.22150165058362
22.110541183633888,19.337778412799786,21.671470634594616,19.73502806743483,17.47049894562165,18.973654024190843,18.024545800677554,19.00794659102899,20.516128493926917,18.60525036496351,28.748664614457404,25.214233623359647,26.594808755819194,27.567438853426843,27.14999562777244,29.40354257042854,25.794794602972477,25.04589833281911,26.14939098276259,20.868470211892134
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
